player_id,player_name,country_code,birth_date,age,profile_total_earnings,profile_9_darters,profile_season_win_pct,profile_tour_card_years,profile_fdi_rating,profile_highest_average,profile_order_of_merit,profile_highest_tv_average,last_12_months_averages,last_12_months_180_s,last_12_months_checkout_pcnt,last_12_months_pcnt_legs_won,last_12_months_highest_checkout,last_12_months_first_9_averages,last_12_months_first_3_averages,last_12_months_with_throw_averages,last_12_months_against_throw_averages,last_12_months_pcnt_legs_won_throwing_first,last_12_months_pcnt_legs_won_throwing_second,last_12_months_171_180_s,last_12_months_140_s,last_12_months_131_140_s,last_12_months_functional_doubles_pcnt,api_rank,api_overall_stat,api_sum_field1,api_sum_field2
5403,Luke Littler,ENG,21/01/2007,18,2141879.0,8.0,80.0,1.0,1972.0,122.96,1.0,115.96,100.96,929.0,42.97,60.04,170.0,111.49,110.57,99.47,102.7,72.54,47.12,998.0,1268.0,1960.0,49.31,1,100.96,983928,29236
34,Luke Humphries,ENG,11/02/1995,30,3326675.0,6.0,68.0,7.0,1876.0,119.15,2.0,118.43,98.59,563.0,41.22,56.35,170.0,107.97,105.49,96.72,100.72,69.81,43.58,586.0,1131.0,1681.0,48.08,2,98.59,795358,24201
36,Stephen Bunting,ENG,09/04/1985,40,2000009.0,3.0,66.0,11.0,1819.0,117.12,5.0,111.33,98.04,648.0,40.02,55.3,170.0,107.59,107.29,97.08,99.1,70.12,40.42,679.0,1287.0,1684.0,46.3,3,98.04,851225,26046
20114,Josh Rock,NIR,13/04/2001,24,752150.0,6.0,68.0,3.0,1840.0,121.88,13.0,112.27,98.0,601.0,39.89,56.25,170.0,108.11,106.28,95.95,100.33,68.5,44.24,658.0,1004.0,1453.0,47.11,4,98.00,710292,21743
2641,Gian van Veen,NED,23/04/2002,23,499059.0,1.0,72.0,2.0,1868.0,115.92,21.0,114.71,97.92,565.0,46.26,58.83,170.0,105.83,105.74,97.19,98.73,71.95,45.78,595.0,1092.0,1653.0,55.4,5,97.92,846549,25937
2,Gerwyn Price,WAL,07/03/1985,40,4672750.0,8.0,70.0,11.0,1902.0,117.88,8.0,117.88,97.79,617.0,42.06,57.61,170.0,106.73,106.35,96.86,98.86,70.88,44.41,700.0,1046.0,1769.0,49.06,6,97.79,915015,28072
10,Gary Anderson,SCO,22/12/1970,54,5450725.0,9.0,67.0,14.0,1793.0,123.83,14.0,113.44,97.35,315.0,42.03,55.73,167.0,105.94,102.87,95.81,99.11,71.23,41.0,366.0,615.0,945.0,49.56,7,97.35,472139,14549
3,Michael van Gerwen,NED,25/04/1989,36,11857300.0,31.0,55.0,14.0,1803.0,123.4,3.0,123.4,97.2,354.0,39.1,52.2,170.0,106.47,105.85,95.66,98.92,63.79,40.6,411.0,650.0,1172.0,45.42,8,97.20,557270,17200
39,Chris Dobey,ENG,31/05/1990,35,1481250.0,3.0,63.0,10.0,1842.0,113.54,6.0,108.91,96.71,611.0,38.47,55.28,170.0,106.13,105.47,94.96,98.7,66.7,43.62,664.0,939.0,1603.0,44.55,9,96.71,818189,25382
14,Dirk van Duijvenbode,NED,30/06/1992,33,1192625.0,2.0,63.0,9.0,1749.0,117.74,32.0,112.05,96.51,554.0,40.99,55.31,170.0,106.22,105.05,94.97,98.26,67.32,43.2,601.0,726.0,1258.0,48.74,10,96.51,669915,20824
26,Ross Smith,ENG,12/01/1989,36,1065720.0,7.0,67.0,13.0,1767.0,113.23,11.0,107.92,96.51,556.0,41.45,56.62,170.0,106.33,105.83,95.44,97.67,71.43,41.88,588.0,1039.0,1438.0,49.11,11,96.51,736862,22906
20,Jonny Clayton,WAL,04/10/1974,51,2832250.0,3.0,67.0,10.0,1793.0,112.77,4.0,112.77,96.25,463.0,42.39,55.72,170.0,104.62,103.42,94.96,97.71,67.97,43.76,505.0,1015.0,1352.0,49.88,12,96.25,711066,22163
130,Wessel Nijman,NED,26/06/2000,25,236675.0,1.0,70.0,1.0,1869.0,116.87,39.0,111.1,95.91,566.0,42.25,57.86,170.0,104.7,102.4,94.48,97.53,70.14,45.23,605.0,1122.0,1587.0,50.12,13,95.91,819466,25633
31,Ryan Searle,ENG,21/10/1987,38,1109650.0,4.0,61.0,8.0,1782.0,116.9,20.0,106.62,95.76,333.0,40.55,54.29,164.0,105.01,102.07,95.09,96.52,66.38,42.07,395.0,719.0,1028.0,47.88,14,95.76,545093,17077
8,Nathan Aspinall,ENG,15/07/1991,34,2288925.0,4.0,63.0,10.0,1850.0,117.45,12.0,110.22,95.72,553.0,38.9,55.09,170.0,104.93,105.12,94.47,97.15,67.01,42.9,585.0,919.0,1388.0,44.26,15,95.72,707988,22190
29,Rob Cross,ENG,21/09/1990,35,3337700.0,4.0,54.0,8.0,1727.0,117.99,9.0,112.32,95.7,263.0,40.6,51.81,170.0,103.59,102.31,95.52,95.93,66.27,37.26,314.0,630.0,1089.0,46.63,16,95.70,537356,16845
22,Danny Noppert,NED,31/12/1990,34,1450759.0,4.0,66.0,7.0,1822.0,110.68,18.0,107.0,94.81,497.0,40.42,54.21,170.0,102.78,101.2,94.56,95.09,68.28,39.69,532.0,1020.0,1534.0,48.44,17,94.81,797716,25242
7,James Wade,ENG,06/04/1983,42,4969039.0,11.0,66.0,14.0,1810.0,115.92,7.0,114.73,94.78,310.0,42.97,54.73,170.0,102.06,101.77,93.22,96.56,67.34,41.94,332.0,908.0,1214.0,51.3,18,94.78,636864,20159
13,Damon Heta,AUS,10/08/1987,38,1232509.0,2.0,65.0,5.0,1791.0,117.48,10.0,106.09,94.77,334.0,43.64,57.21,170.0,102.41,101.18,93.77,95.9,70.66,43.63,399.0,946.0,1452.0,51.61,19,94.77,718086,22731
18,Jermaine Wattimena,NED,09/03/1988,37,881759.0,N/A,68.0,10.0,1819.0,112.16,25.0,108.94,94.72,448.0,39.43,56.47,170.0,103.95,102.59,93.55,95.99,68.44,44.51,479.0,1122.0,1584.0,47.1,20,94.72,813477,25766
12,Krzysztof Ratajski,POL,01/01/1977,48,1205900.0,2.0,62.0,6.0,1750.0,115.35,37.0,107.53,94.45,242.0,40.22,54.6,170.0,102.95,102.88,92.87,96.18,66.19,43.29,324.0,652.0,1342.0,48.02,21,94.45,654105,20777
2345,Dom Taylor,ENG,,,95950.0,N/A,53.0,1.0,1705.0,112.14,66.0,99.83,94.25,140.0,43.53,51.22,170.0,100.54,100.2,92.59,96.11,66.47,36.12,182.0,563.0,876.0,53.09,22,94.25,476610,15170
82,Martin Schindler,GER,16/08/1996,29,953875.0,3.0,63.0,8.0,1747.0,123.53,17.0,110.0,94.17,402.0,39.23,53.69,170.0,103.22,100.67,93.23,95.22,67.09,40.59,443.0,787.0,1254.0,46.14,23,94.17,667731,21272
30,William O'Connor,IRL,15/07/1986,38,730900.0,3.0,65.0,14.0,1770.0,115.1,48.0,115.1,94.15,463.0,39.5,56.52,170.0,103.04,104.09,93.01,95.42,69.83,43.73,491.0,882.0,1288.0,47.94,24,94.15,721762,22999
35,Callan Rydz,ENG,03/07/1998,27,531950.0,3.0,54.0,5.0,1731.0,117.37,40.0,107.06,94.06,329.0,39.18,53.15,170.0,102.24,102.94,93.07,95.16,66.17,40.11,361.0,517.0,892.0,47.16,25,94.06,495248,15795
66,Mike De Decker,BEL,15/02/1995,29,631509.0,1.0,58.0,9.0,1780.0,113.74,16.0,104.49,93.78,391.0,38.45,53.09,170.0,101.57,102.43,92.58,95.12,64.8,41.2,416.0,644.0,1034.0,45.22,26,93.78,563080,18013
196,Niko Springer,GER,11/07/2000,25,95389.0,1.0,61.0,0.0,1748.0,115.92,73.0,115.92,93.74,337.0,40.63,55.28,170.0,102.46,102.87,92.35,95.31,68.28,42.14,414.0,615.0,1195.0,48.5,27,93.74,612043,19587
2088,Andrew Gilding,ENG,07/12/1970,55,854700.0,3.0,57.0,13.0,1752.0,118.33,28.0,108.37,93.54,245.0,38.94,52.85,164.0,102.08,102.41,91.95,95.35,65.48,40.18,290.0,749.0,971.0,45.1,28,93.54,522328,16752
5415,Derek Coulson,WAL,,,8275.0,N/A,72.0,N/A,1730.0,111.33,305.0,96.36,93.41,205.0,39.68,61.16,170.0,102.43,103.27,92.6,94.3,74.02,48.14,221.0,518.0,720.0,48.23,29,93.41,383761,12325
74,Bradley Brooks,ENG,20/02/2000,25,178725.0,1.0,61.0,7.0,1705.0,120.24,119.0,97.91,93.18,398.0,40.18,54.46,170.0,102.28,100.83,91.57,94.96,67.34,41.76,451.0,724.0,1049.0,48.58,30,93.18,599997,19318
24,Daryl Gurney,NIR,22/03/1986,39,2160200.0,2.0,55.0,12.0,1733.0,117.12,26.0,108.81,93.17,258.0,40.48,51.48,170.0,100.26,99.21,91.32,95.24,64.51,38.63,272.0,760.0,994.0,47.76,31,93.17,545707,17572
2317,Connor Scutt,ENG,15/04/1996,29,173750.0,N/A,47.0,3.0,1696.0,111.98,49.0,104.38,93.14,290.0,38.88,48.26,170.0,101.28,102.0,92.26,94.09,60.0,36.74,309.0,518.0,734.0,46.07,32,93.14,437135,14080
28,Ryan Joyce,ENG,20/09/1985,40,653000.0,N/A,59.0,7.0,1755.0,114.03,27.0,108.11,93.04,236.0,42.93,53.32,170.0,100.75,100.12,91.48,94.75,66.72,40.13,298.0,631.0,1064.0,51.77,33,93.04,573184,18482
44,Karel Sedláček,CZE,17/02/1979,46,253909.0,N/A,62.0,5.0,1751.0,108.24,59.0,107.56,92.98,253.0,38.35,54.27,170.0,100.9,100.76,91.23,94.93,65.53,43.5,290.0,914.0,1221.0,45.45,34,92.98,682374,22016
55,Niels Zonneveld,NED,22/07/1998,27,268050.0,1.0,61.0,6.0,1724.0,111.33,47.0,101.1,92.91,382.0,40.37,53.53,170.0,101.14,100.62,91.79,94.14,66.51,40.75,404.0,800.0,1023.0,48.99,35,92.91,593100,19150
2221,Cameron Menzies,SCO,27/06/1989,36,397950.0,3.0,66.0,3.0,1749.0,114.58,33.0,102.91,92.76,449.0,38.1,54.44,170.0,101.86,100.52,91.2,94.5,66.24,42.51,484.0,782.0,1156.0,45.86,36,92.76,655914,21214
5,Michael Smith,ENG,18/09/1990,35,4239800.0,9.0,52.0,14.0,1690.0,132.61,23.0,113.62,92.7,221.0,39.05,49.64,164.0,101.0,101.33,92.0,93.49,64.89,34.36,266.0,504.0,814.0,45.71,37,92.70,447293,14475
70,Luke Woodhouse,ENG,13/10/1988,37,534925.0,5.0,62.0,7.0,1775.0,113.86,30.0,103.61,92.7,348.0,38.93,52.41,167.0,100.02,99.31,91.66,93.86,67.27,37.36,415.0,712.0,1230.0,46.18,38,92.70,665195,21528
2255,Robert Owen,WAL,23/09/1984,41,179259.0,1.0,60.0,11.0,1640.0,115.85,62.0,98.97,92.64,27.0,34.43,50.4,161.0,101.55,98.88,91.08,94.43,58.73,41.94,28.0,101.0,112.0,40.65,39,92.64,57562,1864
2273,Wesley Plaisier,NED,,,141600.0,N/A,50.0,0.0,1737.0,109.28,58.0,95.98,92.44,184.0,42.03,51.07,170.0,99.49,100.38,91.77,93.19,62.55,39.43,203.0,493.0,798.0,50.91,40,92.44,452757,14694
1,Peter Wright,SCO,10/03/1970,55,6124875.0,3.0,47.0,14.0,1679.0,123.53,24.0,119.5,92.34,254.0,38.9,49.09,160.0,99.74,99.11,90.92,93.92,63.01,35.4,265.0,662.0,779.0,45.72,41,92.34,453892,14746
5190,James Hurrell,ENG,07/07/1984,41,84297.0,1.0,46.0,1.0,1691.0,118.66,71.0,99.18,91.97,253.0,37.77,48.74,170.0,100.38,99.14,90.69,93.42,61.2,36.02,272.0,566.0,764.0,45.62,42,91.97,439129,14324
6,Joe Cullen,ENG,13/07/1989,36,1912825.0,2.0,54.0,14.0,1684.0,113.77,29.0,108.65,91.96,333.0,36.25,50.14,170.0,100.63,98.85,89.64,94.59,61.06,38.99,368.0,510.0,899.0,42.74,43,91.96,501279,16354
45,Ricky Evans,ENG,29/07/1990,35,664219.0,2.0,51.0,12.0,1712.0,114.15,43.0,100.68,91.92,258.0,37.2,50.0,170.0,99.3,99.37,90.68,93.26,61.52,38.64,275.0,565.0,914.0,45.85,44,91.92,503009,16417
9,Mensur Suljović,AUT,05/03/1972,53,1800309.0,4.0,54.0,14.0,1670.0,113.43,64.0,113.43,91.8,209.0,35.24,50.36,164.0,99.99,98.55,90.16,93.64,62.81,37.88,248.0,489.0,816.0,43.07,45,91.80,455742,14893
21,Dave Chisnall,ENG,12/09/1980,45,3084950.0,15.0,52.0,14.0,1701.0,121.71,15.0,114.17,91.77,367.0,37.75,51.87,167.0,101.11,100.49,89.84,93.93,65.3,38.48,387.0,557.0,911.0,44.3,46,91.77,520744,17024
42,Madars Razma,LTV,26/09/1988,37,454550.0,4.0,49.0,8.0,1699.0,108.65,44.0,104.92,91.66,150.0,38.45,50.05,170.0,99.71,100.48,89.94,93.58,62.43,37.85,280.0,318.0,890.0,45.23,47,91.66,489248,16013
148,Lukas Wenig,GER,18/09/1994,31,83900.0,3.0,53.0,1.0,1716.0,111.89,84.0,93.98,91.55,278.0,35.63,50.4,170.0,100.15,99.05,89.59,93.82,62.37,38.16,313.0,584.0,919.0,42.38,48,91.55,519841,17034
5138,Alan Soutar,SCO,10/01/1978,47,290000.0,1.0,55.0,4.0,1706.0,110.0,57.0,103.88,91.54,325.0,37.84,53.0,170.0,100.9,100.05,90.69,92.51,66.73,38.84,348.0,574.0,852.0,46.1,49,91.54,502662,16473
2052,Kevin Doets,NED,05/05/1998,27,269900.0,1.0,62.0,3.0,1749.0,109.98,41.0,109.98,91.52,375.0,39.17,54.87,170.0,100.2,101.95,90.12,93.08,68.17,41.54,411.0,771.0,1091.0,47.38,50,91.52,617152,20230
38,Gabriel Clemens,GER,16/08/1983,42,962825.0,2.0,49.0,7.0,1681.0,114.15,45.0,110.27,91.48,290.0,36.69,50.83,170.0,99.76,100.08,89.91,93.27,66.39,35.15,315.0,522.0,752.0,43.86,51,91.48,444406,14574
17,Ian White,ENG,17/08/1970,55,1563375.0,9.0,50.0,14.0,1665.0,115.03,50.0,111.12,91.48,197.0,40.05,50.2,167.0,99.3,98.4,91.22,91.76,64.44,35.96,242.0,509.0,806.0,48.87,52,91.48,456708,14978
2138,Justin Hood,ENG,,,31850.0,N/A,52.0,0.0,1680.0,112.16,105.0,99.97,91.44,234.0,36.82,51.11,170.0,99.52,99.53,89.5,93.66,63.99,37.9,265.0,516.0,863.0,44.58,53,91.44,504062,16537
65,Mickey Mansell,NIR,31/08/1973,52,488100.0,5.0,53.0,14.0,1700.0,110.58,42.0,100.87,91.4,200.0,38.65,51.35,161.0,99.25,100.83,90.13,92.86,65.72,36.47,213.0,704.0,816.0,45.38,54,91.40,482685,15843
1982,Raymond van Barneveld,NED,20/04/1967,58,3665340.0,10.0,50.0,14.0,1675.0,115.73,35.0,113.38,91.4,223.0,38.57,50.46,170.0,98.97,97.44,90.57,92.35,63.03,38.16,239.0,676.0,845.0,45.39,55,91.40,504990,16576
5137,Scott Williams,ENG,18/01/1990,35,346300.0,N/A,55.0,2.0,1721.0,111.33,34.0,107.46,91.3,245.0,39.55,51.65,170.0,99.63,101.03,89.87,92.92,65.06,38.09,267.0,628.0,841.0,48.14,56,91.30,477156,15679
46,Steve Lennon,IRL,25/11/1993,32,555409.0,1.0,43.0,8.0,1675.0,111.33,76.0,105.58,91.25,143.0,35.79,47.53,167.0,99.35,98.22,89.41,93.27,59.4,35.84,165.0,492.0,734.0,42.56,57,91.25,401816,13211
